ProductID,ProductName,ProductBrand,Gender,Price,Description,PrimaryColor
1066,Gazelle Pro 4,Adidas,Women,12999,Retro-inspired running shoes with a sleek design and supportive upper,Purple
1067,Era Pro 5,Vans,Men,7499,Classic skateboarding shoes with a low-profile sole and supportive upper,Red
1068,Presto Fly 6,Nike,Women,13999,Lightweight and breathable running shoes with a flexible sole and supportive upper,Pink
1069,Superstar Bold 5,Adidas,Men,14999,Classic basketball shoes with a modern twist and bold design,Black
1070,Old Skool Lite 6,Vans,Unisex,6499,Iconic skateboarding shoes with a relaxed fit and lightweight sole,Brown
1071,Air Zoom Structure 5,Nike,Men,16999,Supportive and responsive running shoes with a breathable upper and flexible sole,Blue
1072,Stan Smith Bold 5,Adidas,Unisex,12999,Classic tennis shoes with a bold design and supportive upper,Red
1073,Sk8-Hi Pro 5,Vans,Men,8499,Water-resistant skateboarding shoes with a rugged sole and supportive upper,Grey
1074,Air Force 1 Pro 5,Nike,Unisex,16999,Iconic basketball shoes with a bold design and supportive upper,Navy
1075,Gazelle Pro 5,Adidas,Women,13999,Retro-inspired running shoes with a sleek design and supportive upper,Purple
1076,Era Pro 6,Vans,Men,7999,Classic skateboarding shoes with a low-profile sole and supportive upper,Red
1077,Presto Fly 7,Nike,Women,14999,Lightweight and breathable running shoes with a flexible sole and supportive upper,Pink
1078,Superstar Bold 6,Adidas,Men,15999,Classic basketball shoes with a modern twist and bold design,Black
1079,Old Skool Lite 7,Vans,Unisex,6999,Iconic skateboarding shoes with a relaxed fit and lightweight sole,Brown
1080,Air Zoom Structure 6,Nike,Men,17999,Supportive and responsive running shoes with a breathable upper and flexible sole,Blue
1081,Stan Smith Bold 6,Adidas,Unisex,13999,Classic tennis shoes with a bold design and supportive upper,Red
1082,Sk8-Hi Pro 6,Vans,Men,8999,Water-resistant skateboarding shoes with a rugged sole and supportive upper,Grey
1083,Air Force 1 Pro 6,Nike,Unisex,17999,Iconic basketball shoes with a bold design and supportive upper,Navy
1084,Gazelle Pro 6,Adidas,Women,14999,Retro-inspired running shoes with a sleek design and supportive upper,Purple
1085,Era Pro 7,Vans,Men,8499,Classic skateboarding shoes with a low-profile sole and supportive upper,Red
1086,Presto Fly 8,Nike,Women,15999,Lightweight and breathable running shoes with a flexible sole and supportive upper,Pink
1087,Free 7,Nike,Men,14999,Flexible and breathable running shoes with a lightweight sole and supportive upper,Navy
1088,Rival 7,Adidas,Women,13999,Retro-inspired running shoes with a sleek design and supportive upper,Grey
1089,Sk8-Hi Pro 7,Vans,Men,9299,Water-resistant skateboarding shoes with a rugged sole and supportive upper,Black
1090,Air Zoom Pegasus 5,Nike,Men,17999,Supportive and responsive running shoes with a breathable upper and flexible sole,Red
1091,Stan Smith Pro 5,Adidas,Unisex,14999,Classic tennis shoes with a bold design and supportive upper,Green
1092,Old Skool Lite 8,Vans,Unisex,7499,Iconic skateboarding shoes with a relaxed fit and lightweight sole,Purple
1093,Air Force 1 Pro 7,Nike,Unisex,18999,Iconic basketball shoes with a bold design and supportive upper,Blue
1094,Gazelle Pro 7,Adidas,Women,15999,Retro-inspired running shoes with a sleek design and supportive upper,Pink
1095,Era Pro 8,Vans,Men,8999,Classic skateboarding shoes with a low-profile sole and supportive upper,Grey
1096,Presto Fly 9,Nike,Women,16999,Lightweight and breathable running shoes with a flexible sole and supportive upper,Navy
1097,Superstar Pro 5,Adidas,Men,16999,Classic basketball shoes with a modern twist and bold design,Red
1098,Sk8-Hi Pro 8,Vans,Men,9599,Water-resistant skateboarding shoes with a rugged sole and supportive upper,Brown
1099,Air Zoom Structure 7,Nike,Men,18999,Supportive and responsive running shoes with a breathable upper and flexible sole,Black
1100,Stan Smith Pro 6,Adidas,Unisex,15999,Classic tennis shoes with a bold design and supportive upper,Green
1101,Old Skool Lite 9,Vans,Unisex,7999,Iconic skateboarding shoes with a relaxed fit and lightweight sole,Purple
1102,Air Force 1 Pro 8,Nike,Unisex,19999,Iconic basketball shoes with a bold design and supportive upper,Blue
1103,Gazelle Pro 8,Adidas,Women,16999,Retro-inspired running shoes with a sleek design and supportive upper,Pink
1104,Air Max 90,Nike,Men,8999,Comfortable running shoes,Black
1105,Ultraboost 21,Adidas,Men,11999,High-performance training sneakers,White
1106,Classic Slip-On,Vans,Unisex,3499,Easy slip-on casual shoes,Black
1107,Chuck Taylor All Star,Converse,Women,2999,Iconic canvas sneakers,Red
1108,Old Skool,Vans,Men,4599,Suede low-top skate shoes,Navy Blue
1109,Gel-Kayano 28,ASICS,Men,9999,Stability running shoes,Grey
1110,Fresh Foam 1080,New Balance,Women,10499,Cushioned athletic shoes,Pink
1111,Air Force 1,Nike,Unisex,7999,Timeless streetwear classic,White
1112,Yeezy Boost 350,Adidas,Unisex,17999,Fashion-forward sneakers,Cream
1113,Ignite Flash,Puma,Women,3999,Lightweight training shoes,Coral
1114,ZoomX Vaporfly,Nike,Men,18999,Elite marathon racing shoes,Green
1115,Cloud X,On Running,Men,11299,Cross-training and running,Black
1116,Adilette Slides,Adidas,Unisex,1999,Comfortable pool slides,Blue
1117,React Infinity Run,Nike,Women,12499,Injury-preventive running shoes,Purple
1118,RS-X3 Puzzle,Puma,Unisex,6799,Chunky retro sneakers,Multi-color
1119,997H,New Balance,Men,5999,Heritage-inspired casual wear,Olive Green
1120,Classic Leather,Reebok,Women,4999,Retro style everyday wear,Beige
1121,Legend Essential,Nike,Women,3799,Training gym shoes,Black
1122,Superstar,Adidas,Unisex,7499,Iconic street-style shell-toe shoes,White
1123,Bamba,Decathlon,Men,1299,Affordable football shoes,Orange
1124,Club C Revenge,Reebok,Men,5899,Tennis-inspired casual wear,White
1125,Phantom GX,Nike,Men,9999,Precision football boots,Blue
1126,Floatride Energy,Reebok,Women,6599,Smooth ride running shoes,Pink
1127,Speedcross 5,Salomon,Men,9999,Trail running and hiking shoes,Green
1128,Grand Court,Adidas,Unisex,4299,Classic court-style sneakers,Black
1129,Performance Crew Socks,Nike,Men,799,Moisture-wicking socks for running and training,Black
1130,Cushioned Running Socks,Adidas,Unisex,699,Cushioned socks designed for running,White
1131,No-Show Socks,Puma,Unisex,499,Low-cut socks for sneakers and casual shoes,Grey
1132,Dress Socks,Van Heusen,Men,599,Formal cotton-blend socks for dress shoes,Navy
1133,Ankle Socks,Reebok,Women,549,Comfort ankle socks for everyday footwear,White
1134,Compression Running Socks,Decathlon,Unisex,999,Supportive compression socks for runners,Black
1135,Football Socks,Adidas,Unisex,899,Knee-high socks designed for football,Red
1136,Hiking Socks,Decathlon,Unisex,749,Cushioned hiking socks for outdoor footwear,Olive Green
1137,Basketball Socks,Nike,Unisex,999,Cushioned performance socks for basketball,White
1138,Tennis Socks,Asics,Unisex,899,Breathable socks for court sports,White
1139,Memory Foam Insoles,Skechers,Unisex,999,Soft replacement insoles for everyday comfort,Grey
1140,Running Gel Insoles,Dr. Scholl's,Unisex,1299,Impact-absorbing insoles for running shoes,Blue
1141,Arch Support Insoles,Scholl,Unisex,1199,Supportive insoles for enhanced foot comfort,Black
1142,Sport Shoe Insoles,Decathlon,Unisex,699,Lightweight replacement insoles for sports shoes,Grey
1143,Leather Shoe Polish,KIWI,Unisex,299,Polish for leather formal shoes and boots,Black
1144,Neutral Shoe Polish,KIWI,Unisex,299,Neutral polish for leather footwear,Brown
1145,Suede Shoe Cleaner,Saphir,Unisex,899,Cleaner for suede and nubuck footwear,Clear
1146,Sneaker Cleaning Foam,Crep Protect,Unisex,999,Foaming cleaner for sneakers,White
1147,Shoe Cleaning Brush,Crep Protect,Unisex,699,Soft-bristle brush for footwear cleaning,Black
1148,Shoe Deodorizer Spray,Nike,Unisex,799,Odor-control spray for footwear,Clear
1149,Waterproofing Shoe Spray,Saphir,Unisex,1099,Protective spray for footwear against moisture,Clear
1150,Shoe Tree,Woodland,Men,1499,Wooden shoe trees for maintaining shoe shape,Natural
1151,Adjustable Shoe Tree,Hush Puppies,Men,1299,Adjustable shoe trees for formal footwear,Natural
1152,Replacement Flat Laces,Puma,Unisex,299,Replacement flat laces for sneakers,White
1153,Replacement Round Laces,Woodland,Unisex,349,Durable round laces for boots and outdoor shoes,Brown
1154,Reflective Shoe Laces,Nike,Unisex,499,Reflective replacement laces for running shoes,Silver
1155,Heel Grips,Scholl,Unisex,499,Anti-slip heel grips for loose-fitting shoes,Beige
1156,Gel Heel Cushions,Dr. Scholl's,Unisex,699,Shock-absorbing heel cushions for everyday footwear,Clear
1157,Ball of Foot Cushion,Scholl,Women,699,Gel cushioning for heels and flats,Clear
1158,Toe Protectors,Scholl,Unisex,399,Soft silicone protection for toes,Clear
1159,Shoe Storage Bag,Decathlon,Unisex,399,Travel bag for storing shoes separately,Black
1160,Shoe Organizer,Home Centre,Unisex,899,Compact organizer for footwear storage,Black
1161,Football Shin Guards,Adidas,Unisex,1299,Protective shin guards for football players,White
1162,Ankle Support Sleeve,Nike,Unisex,1199,Support sleeve for sports and training,Black
1163,Calf Compression Sleeves,Decathlon,Unisex,899,Compression sleeves for running and sports,Black
1164,Trail Gaiters,Salomon,Unisex,1999,Protective gaiters for trail and hiking shoes,Black
1165,Boot Care Kit,Woodland,Men,1499,"Brush, conditioner and polish for boots",Brown
1166,Leather Conditioner,Hush Puppies,Unisex,799,Conditioner for leather shoes and boots,Clear
1167,Sneaker Protector,Crep Protect,Unisex,1299,Protective coating for sneakers,Clear
1168,Shoe Horn,Hush Puppies,Unisex,399,Long shoe horn for easy footwear fitting,Brown
1169,Foot Comfort Powder,Scholl,Unisex,399,Absorbent powder for daily footwear comfort,White
1170,Blister Prevention Patches,Compeed,Unisex,599,Protective patches for friction-prone areas,Clear
1171,Running Belt,Decathlon,Unisex,799,Compact belt for carrying essentials while running,Black
1172,Sports Shoe Bag,Nike,Unisex,999,Ventilated bag for sports footwear,Black
1173,Formal Shoe Care Kit,Hush Puppies,Men,1299,Complete cleaning kit for formal leather shoes,Black
1174,Boot Waterproofing Wax,Woodland,Unisex,699,Water-resistant wax for outdoor boots,Brown
1175,Shoe Stretch Spray,Saphir,Unisex,999,Spray to help loosen tight footwear,Clear
1176,Cushioned Sports Socks 01,Adidas,Men,649,Cushioned socks for training and sports shoes,White
1177,Sneaker Cleaning Wipes 02,Puma,Women,499,Quick-clean wipes for sneakers and casual shoes,Grey
1178,Replacement Shoe Laces 03,Reebok,Unisex,299,Replacement laces for everyday footwear,Navy
1179,Gel Insole 04,Decathlon,Men,899,Soft gel insole for improved shoe comfort,Brown
1180,Heel Cushion Pads 05,Woodland,Women,599,Comfort pads for reducing heel pressure,Beige
1181,Shoe Freshener 06,Skechers,Unisex,699,Freshening spray for everyday footwear,Blue
1182,Travel Shoe Bag 07,Scholl,Men,449,Protective travel bag for storing shoes,Red
1183,Everyday Cotton Socks 08,Hush Puppies,Women,449,Comfortable cotton socks for casual footwear,Green
1184,Cushioned Sports Socks 09,Nike,Unisex,649,Cushioned socks for training and sports shoes,Pink
1185,Sneaker Cleaning Wipes 10,Adidas,Men,499,Quick-clean wipes for sneakers and casual shoes,Black
1186,Replacement Shoe Laces 11,Puma,Women,299,Replacement laces for everyday footwear,White
1187,Gel Insole 12,Reebok,Unisex,899,Soft gel insole for improved shoe comfort,Grey
1188,Heel Cushion Pads 13,Decathlon,Men,599,Comfort pads for reducing heel pressure,Navy
1189,Shoe Freshener 14,Woodland,Women,699,Freshening spray for everyday footwear,Brown
1190,Travel Shoe Bag 15,Skechers,Unisex,449,Protective travel bag for storing shoes,Beige
1191,Everyday Cotton Socks 16,Scholl,Men,449,Comfortable cotton socks for casual footwear,Blue
1192,Cushioned Sports Socks 17,Hush Puppies,Women,649,Cushioned socks for training and sports shoes,Red
1193,Sneaker Cleaning Wipes 18,Nike,Unisex,499,Quick-clean wipes for sneakers and casual shoes,Green
1194,Replacement Shoe Laces 19,Adidas,Men,299,Replacement laces for everyday footwear,Pink
1195,Gel Insole 20,Puma,Women,899,Soft gel insole for improved shoe comfort,Black
1196,Heel Cushion Pads 21,Reebok,Unisex,599,Comfort pads for reducing heel pressure,White
1197,Shoe Freshener 22,Decathlon,Men,699,Freshening spray for everyday footwear,Grey
1198,Travel Shoe Bag 23,Woodland,Women,449,Protective travel bag for storing shoes,Navy
1199,Everyday Cotton Socks 24,Skechers,Unisex,449,Comfortable cotton socks for casual footwear,Brown
1200,Cushioned Sports Socks 25,Scholl,Men,649,Cushioned socks for training and sports shoes,Beige
1201,Sneaker Cleaning Wipes 26,Hush Puppies,Women,499,Quick-clean wipes for sneakers and casual shoes,Blue
1202,Replacement Shoe Laces 27,Nike,Unisex,299,Replacement laces for everyday footwear,Red
1203,Gel Insole 28,Adidas,Men,899,Soft gel insole for improved shoe comfort,Green
1204,Heel Cushion Pads 29,Puma,Women,599,Comfort pads for reducing heel pressure,Pink
1205,Shoe Freshener 30,Reebok,Unisex,699,Freshening spray for everyday footwear,Black
1206,Travel Shoe Bag 31,Decathlon,Men,449,Protective travel bag for storing shoes,White
1207,Everyday Cotton Socks 32,Woodland,Women,449,Comfortable cotton socks for casual footwear,Grey
1208,Cushioned Sports Socks 33,Skechers,Unisex,649,Cushioned socks for training and sports shoes,Navy
1209,Sneaker Cleaning Wipes 34,Scholl,Men,499,Quick-clean wipes for sneakers and casual shoes,Brown
1210,Replacement Shoe Laces 35,Hush Puppies,Women,299,Replacement laces for everyday footwear,Beige
1211,Gel Insole 36,Nike,Unisex,899,Soft gel insole for improved shoe comfort,Blue
1212,Heel Cushion Pads 37,Adidas,Men,599,Comfort pads for reducing heel pressure,Red
1213,Shoe Freshener 38,Puma,Women,699,Freshening spray for everyday footwear,Green
1214,Travel Shoe Bag 39,Reebok,Unisex,449,Protective travel bag for storing shoes,Pink
1215,Everyday Cotton Socks 40,Decathlon,Men,449,Comfortable cotton socks for casual footwear,Black
1216,Cushioned Sports Socks 41,Woodland,Women,649,Cushioned socks for training and sports shoes,White
1217,Sneaker Cleaning Wipes 42,Skechers,Unisex,499,Quick-clean wipes for sneakers and casual shoes,Grey
1218,Replacement Shoe Laces 43,Scholl,Men,299,Replacement laces for everyday footwear,Navy
1219,Gel Insole 44,Hush Puppies,Women,899,Soft gel insole for improved shoe comfort,Brown
1220,Heel Cushion Pads 45,Nike,Unisex,599,Comfort pads for reducing heel pressure,Beige
1221,Shoe Freshener 46,Adidas,Men,699,Freshening spray for everyday footwear,Blue
1222,Travel Shoe Bag 47,Puma,Women,449,Protective travel bag for storing shoes,Red
1223,Everyday Cotton Socks 48,Reebok,Unisex,449,Comfortable cotton socks for casual footwear,Green
1224,Cushioned Sports Socks 49,Decathlon,Men,649,Cushioned socks for training and sports shoes,Pink
1225,Sneaker Cleaning Wipes 50,Woodland,Women,499,Quick-clean wipes for sneakers and casual shoes,Black
1226,Replacement Shoe Laces 51,Skechers,Unisex,299,Replacement laces for everyday footwear,White
1227,Gel Insole 52,Scholl,Men,899,Soft gel insole for improved shoe comfort,Grey
1228,Heel Cushion Pads 53,Hush Puppies,Women,599,Comfort pads for reducing heel pressure,Navy
1229,Shoe Freshener 54,Nike,Unisex,699,Freshening spray for everyday footwear,Brown
1230,Travel Shoe Bag 55,Adidas,Men,449,Protective travel bag for storing shoes,Beige
1231,Everyday Cotton Socks 56,Puma,Women,449,Comfortable cotton socks for casual footwear,Blue
1232,Cushioned Sports Socks 57,Reebok,Unisex,649,Cushioned socks for training and sports shoes,Red
1233,Sneaker Cleaning Wipes 58,Decathlon,Men,499,Quick-clean wipes for sneakers and casual shoes,Green
1234,Replacement Shoe Laces 59,Woodland,Women,299,Replacement laces for everyday footwear,Pink
1235,Gel Insole 60,Skechers,Unisex,899,Soft gel insole for improved shoe comfort,Black
1236,Heel Cushion Pads 61,Scholl,Men,599,Comfort pads for reducing heel pressure,White
1237,Shoe Freshener 62,Hush Puppies,Women,699,Freshening spray for everyday footwear,Grey
1238,Travel Shoe Bag 63,Nike,Unisex,449,Protective travel bag for storing shoes,Navy
1239,Everyday Cotton Socks 64,Adidas,Men,449,Comfortable cotton socks for casual footwear,Brown
1240,Cushioned Sports Socks 65,Puma,Women,649,Cushioned socks for training and sports shoes,Beige
1241,Sneaker Cleaning Wipes 66,Reebok,Unisex,499,Quick-clean wipes for sneakers and casual shoes,Blue
1242,Replacement Shoe Laces 67,Decathlon,Men,299,Replacement laces for everyday footwear,Red
1243,Gel Insole 68,Woodland,Women,899,Soft gel insole for improved shoe comfort,Green
1244,Heel Cushion Pads 69,Skechers,Unisex,599,Comfort pads for reducing heel pressure,Pink
1245,Shoe Freshener 70,Scholl,Men,699,Freshening spray for everyday footwear,Black
1246,Travel Shoe Bag 71,Hush Puppies,Women,449,Protective travel bag for storing shoes,White
1247,Everyday Cotton Socks 72,Nike,Unisex,449,Comfortable cotton socks for casual footwear,Grey
1248,Cushioned Sports Socks 73,Adidas,Men,649,Cushioned socks for training and sports shoes,Navy
1249,Sneaker Cleaning Wipes 74,Puma,Women,499,Quick-clean wipes for sneakers and casual shoes,Brown
1250,Replacement Shoe Laces 75,Reebok,Unisex,299,Replacement laces for everyday footwear,Beige
1251,Gel Insole 76,Decathlon,Men,899,Soft gel insole for improved shoe comfort,Blue
1252,Heel Cushion Pads 77,Woodland,Women,599,Comfort pads for reducing heel pressure,Red
1253,Shoe Freshener 78,Skechers,Unisex,699,Freshening spray for everyday footwear,Green
1254,Travel Shoe Bag 79,Scholl,Men,449,Protective travel bag for storing shoes,Pink
1255,Everyday Cotton Socks 80,Hush Puppies,Women,449,Comfortable cotton socks for casual footwear,Black

